course_of_action	vulnerability
#254:53	#247:3680
#252:24	#220:3511
#254:41	#211:2378
#257:19	#217:3483
#3661:99	#221:3430
#3659:51	#225:2373
#256:80	#243:2513
#254:71	#220:2236
#254:55	#213:452
#256:85	#234:3253
#257:19	#239:2468
#3660:182	#240:3593
#3661:42	#242:381
#3659:168	#236:1602
#256:80	#214:3177
#256:82	#218:3359
#256:80	#227:3445
#249:28	#237:2508
#256:80	#211:2557
#254:41	#221:1645
#254:41	#239:3576
#252:43	#226:2673
#254:70	#225:2922
#3661:113	#218:1839
#3659:185	#233:2458
#257:25	#224:431
#254:68	#232:681
#256:80	#235:3522
#254:41	#230:235
#256:80	#231:857
#254:55	#222:1973
#257:19	#236:401
#256:80	#243:1832
#3660:46	#247:3229
#256:80	#241:3688
#257:41	#234:2499
#254:75	#217:926
#249:22	#224:500
#249:71	#239:3124
#256:80	#223:3345
#257:34	#219:3760
#256:80	#241:3458
#3661:137	#222:1005
#254:41	#214:1904
#254:41	#235:2222
#256:85	#238:2644
#3659:132	#228:793
#3658:198	#215:3364
#256:80	#225:2161
#252:21	#230:3506
#256:80	#236:1582
#3660:91	#232:1887
#254:53	#220:1020
#257:12	#221:2839
#3659:158	#233:1439
#3662:23	#221:507
#256:80	#240:2894
#255:94	#227:1195
#256:60	#222:2027
#252:56	#231:2913
#254:41	#237:2368
#256:80	#245:1988
#3659:44	#222:1033
#3660:71	#215:1142
#249:28	#233:1874
#256:91	#235:3362
#3658:91	#223:2177
#249:42	#221:531
#249:71	#245:3252
#3662:13	#229:567
#254:41	#233:2092
#3659:24	#247:1953
#257:34	#228:1203
#254:42	#226:2742
#249:22	#235:1930
#249:64	#245:1507
#254:71	#238:1164
#254:41	#218:727
#3662:94	#214:23
#3660:32	#225:1523
#252:24	#215:181
#256:80	#218:1447
#3661:127	#244:1259
#254:25	#246:3556
#3658:104	#216:810
#256:80	#233:3160
#3660:68	#218:590
#249:28	#223:2442
#3660:93	#212:1492
#249:42	#212:2891
#252:24	#245:49
#254:41	#222:3490
#256:80	#223:3224
#3658:219	#219:116
#3658:42	#217:2112
#256:80	#215:1716
#3660:126	#242:2953
#251:60	#213:2247
#3661:170	#225:3413
#3661:10	#238:3004
#3661:61	#233:773
#256:80	#247:555
#3658:177	#225:2115
#255:94	#222:1168
#249:22	#232:2026
#3660:127	#226:3408
#254:41	#238:3781
#256:85	#222:109
#249:53	#224:782
#3659:99	#239:3446
#3662:55	#228:2718
#249:71	#242:1918
#252:24	#216:247
#249:72	#219:811
#256:80	#217:285
#254:41	#213:3134
#3660:181	#215:3488
#3661:74	#224:618
#3661:212	#237:1665
#252:43	#215:1304
#252:56	#230:1535
#3659:11	#209:1187
#3661:171	#229:3729
#256:80	#235:1537
#254:41	#235:103
#256:80	#233:1153
#251:83	#221:175
#254:29	#236:3092
#256:80	#240:3009
#254:41	#239:749
#254:41	#218:2964
#256:80	#246:2057
#256:80	#210:2987
#3659:139	#238:1542
#254:41	#219:1713
#256:85	#235:1304
#256:80	#228:710
#249:22	#218:396
#257:10	#209:91
#3662:101	#216:191
#256:80	#233:822
#256:85	#214:2630
#256:80	#243:180
#3659:119	#211:1427
#257:41	#220:2944
#254:41	#231:105
#252:56	#217:971
#254:70	#234:2096
#257:36	#245:183
#3662:85	#236:1150
#256:80	#223:3596
#256:80	#246:1628
#3659:201	#222:1084
#3660:24	#214:1524
#256:80	#238:3616
#254:41	#225:3256
#249:42	#227:972
#249:72	#242:3070
#3658:138	#219:194
#254:41	#228:3075
#257:41	#229:2007
#254:77	#213:1831
#249:57	#230:2195
#252:43	#234:1065
#256:85	#238:3376
#254:41	#223:2750
#3662:87	#238:762
#249:72	#230:2947
#254:75	#224:2663
#252:43	#221:393
#252:24	#234:2499
#3660:77	#242:2581
#3662:96	#236:3607
#257:19	#219:940
#249:23	#236:154
#3658:39	#244:885
#254:25	#213:1160
#3661:192	#227:2123
#256:80	#210:701
#256:65	#242:1205
#256:80	#235:2264
#254:22	#241:3398
#256:85	#232:2352
#256:80	#210:1312
#254:38	#235:2279
#256:85	#238:1216
#249:78	#211:2178
#249:72	#223:47
#254:41	#227:3610
#256:80	#213:662
#252:43	#217:2857
#254:51	#230:1889
#256:80	#227:875
#3658:170	#212:595
#254:41	#218:2907
#252:25	#232:2250
#254:45	#223:3764
#249:42	#240:2948
#256:80	#230:3061
#256:80	#246:314
#256:80	#217:2793
#255:93	#219:1906
#256:85	#213:1917
#254:53	#224:1859
#3659:120	#230:996
#256:80	#221:3603
#249:22	#244:2621
#256:80	#234:2226
#254:38	#222:3101
#254:41	#225:2008
#3660:104	#215:2066
#254:55	#237:1022
#249:72	#226:3667
#3658:217	#216:3055
#256:80	#232:672
#3658:84	#242:1998
#254:41	#211:1320
#249:63	#228:1064
#3661:162	#247:3414
#252:56	#248:1145
#256:80	#248:2471
#3661:189	#235:690
#256:80	#212:3214
#3661:79	#238:2372
#254:41	#214:2716
#250:94	#243:2596
#3660:23	#230:1462
#254:41	#217:3757
#254:55	#238:2115
#3658:144	#224:3444
#3661:124	#244:1570
#254:41	#220:1852
#3660:134	#246:132
#256:65	#229:2423
#251:65	#245:1359
#3658:105	#232:1893
#252:24	#218:2251
#256:85	#248:275
#3659:6	#246:414
#254:41	#238:2649
#3660:7	#244:15
#3658:189	#210:3341
#256:80	#239:2934
#256:78	#211:662
#252:43	#214:3439
#3660:64	#217:47
#254:41	#215:1750
#254:55	#230:710
#253:98	#241:2282
#3662:98	#239:3094
#249:64	#218:2051
#256:85	#222:2856
#256:80	#227:1194
#254:67	#209:2933
#256:80	#238:281
#257:34	#248:2777
#254:10	#218:1192
#3661:86	#238:3425
#252:46	#234:2590
#249:20	#211:2169
#256:80	#213:1240
#256:85	#233:2409
#256:80	#210:286
#249:35	#245:212
#254:41	#220:213
#3658:38	#218:2275
#3660:58	#232:3665
#254:41	#245:3306
#3659:29	#215:1237
#256:85	#223:2155
#256:85	#231:2794
#3659:112	#245:1284
#254:53	#214:3237
#256:85	#212:2602
#3658:136	#210:1693
#256:80	#226:3746
#3661:116	#241:1490
#256:85	#238:3764
#256:80	#234:1727
#254:41	#236:1912
#3660:72	#216:690
#256:80	#212:682
#256:80	#218:3626
#256:80	#235:2984
#254:41	#214:3269
#254:41	#235:3738
#256:85	#237:932
#252:24	#239:3224
#257:25	#223:1131
#3659:190	#228:1776
#249:64	#213:2438
#252:24	#227:3171
#3658:45	#215:1070
#252:43	#232:2389
#254:41	#213:3600
#256:85	#246:1376
#249:72	#229:3760
#252:56	#224:1159
#249:22	#214:571
#252:24	#209:723
#3659:36	#240:3234
#3658:15	#216:436
#3660:3	#224:122
#258:98	#247:3355
#256:80	#215:3522
#3661:37	#221:882
#3662:52	#222:249
#254:41	#240:728
#254:53	#244:1211
#252:43	#234:1746
#257:19	#220:1302
#256:80	#222:1157
#256:65	#211:2248
#3658:82	#232:2682
#254:41	#246:3026
#3661:53	#219:1982
#3658:158	#225:283
#255:94	#231:2100
#254:41	#234:2804
#256:80	#221:879
#257:8	#225:1452
#254:55	#221:254
#256:80	#239:2134
#249:28	#236:992
#3658:179	#233:1000
#254:38	#211:2951
#252:24	#243:1676
#252:43	#243:556
#256:80	#235:2007
#254:56	#235:2279
#3660:150	#212:1525
#3661:202	#216:3420
#258:98	#218:289
#254:41	#244:3476
#3659:137	#214:1733
#3661:12	#218:3582
#256:80	#215:688
#256:80	#217:1330
#254:41	#215:750
#3660:176	#235:3301
#3658:13	#241:3375
#254:41	#220:3065
#3661:81	#238:2047
#3660:1	#212:568
#3661:63	#235:3705
#3659:57	#213:621
#254:55	#235:3344
#254:41	#227:3795
#254:41	#246:570
#254:41	#210:2214
#3659:83	#232:337
#3658:172	#245:2597
#249:22	#229:3713
#256:80	#219:3332
#252:43	#238:2544
#3660:143	#219:1824
#256:80	#212:928
#256:80	#221:3260
#254:67	#238:314
#256:80	#224:3761
#3658:188	#211:1671
#256:85	#237:2359
#254:41	#227:2931
#249:63	#233:911
#3661:45	#213:1544
#3660:39	#248:3324
#256:80	#209:2714
#254:47	#223:1916
#3658:221	#229:1948
#254:41	#235:3774
#254:41	#240:1071
#256:80	#243:1319
#3660:118	#219:1699
#254:41	#236:840
#252:24	#220:1568
#252:25	#231:1223
#256:85	#239:3098
#254:25	#247:3391
#256:80	#215:269
#256:80	#231:2573
#256:80	#243:1824
#254:41	#230:965
#252:56	#217:2422
#254:41	#232:3707
#254:55	#230:2302
#252:43	#246:2287
#252:56	#212:1074
#254:41	#230:1658
#254:10	#246:1358
#3662:58	#246:23
#254:41	#235:1384
#256:85	#215:851
#3659:88	#239:151
#257:36	#233:1475
#254:41	#213:3726
#3659:90	#224:2000
#252:43	#210:2109
#257:10	#214:2426
#256:80	#233:2505
#254:41	#220:626
#252:24	#248:384
#256:80	#232:1529
#256:80	#243:2471
#254:55	#215:2735
#3661:36	#226:1898
#254:41	#241:3269
#256:80	#219:1154
#3660:78	#222:3749
#256:80	#231:2989
#257:8	#240:3361
#254:68	#228:1892
#3658:46	#214:1305
#257:10	#222:591
#256:80	#220:1221
#3658:201	#229:981
#256:80	#232:2544
#256:80	#232:3084
#3660:114	#219:3145
#254:41	#237:3259
#3661:33	#234:3146
#256:85	#216:420
#3660:69	#218:2475
#254:41	#248:3518
#254:41	#223:2815
#3661:30	#221:2710
#257:19	#220:1669
#3661:85	#244:2844
#3660:174	#234:1631
#249:22	#213:2228
#252:43	#244:1375
#254:41	#243:2272
#256:80	#213:2017
#3661:23	#224:918
#3658:100	#236:838
#257:19	#212:3561
#254:41	#242:3674
#249:76	#213:1578
#3661:128	#236:2839
#3661:151	#244:1753
#254:41	#209:738
#256:80	#232:1258
#254:41	#242:3199
#254:41	#248:3420
#254:41	#242:651
#3658:83	#223:1502
#257:25	#245:1925
#256:80	#244:1368
#256:80	#223:2648
#249:35	#242:2802
#257:34	#229:2888
#249:22	#232:194
#3658:61	#224:1828
#256:65	#227:1868
#252:21	#216:2861
#254:53	#244:3524
#256:85	#238:245
#3658:212	#218:2727
#256:85	#240:3564
#256:80	#228:2901
#254:70	#223:637
#254:22	#227:645
#256:80	#245:3035
#249:76	#238:2688
#254:55	#219:3664
#257:1	#232:2041
#252:24	#212:2743
#252:24	#246:2488
#257:30	#223:3046
#3660:216	#212:3172
#256:80	#218:1234
#256:85	#229:1528
