tool	malware
#3956:5	#4564:0
#3974:2	#4488:0
#3940:0	#4408:0
#3940:6	#4326:0
#3960:4	#4258:2
#3939:0	#4361:1
#3961:5	#4404:0
#3947:6	#4282:0
#3947:6	#4394:0
#3945:3	#4481:0
#3972:5	#4412:0
#3947:6	#4430:0
#3956:5	#4433:0
#3946:0	#4491:0
#3972:2	#4386:0
#3961:3	#4544:0
#3938:0	#4458:0
#3940:2	#4460:0
#3940:0	#4364:0
#3954:6	#4301:0
#3963:4	#4263:0
#3951:3	#4459:1
#3968:4	#4345:0
#3961:1	#4495:0
#3954:6	#4543:0
#3946:0	#4314:0
#3946:2	#4585:0
#3967:5	#4461:1
#3975:0	#4359:0
#3938:0	#4378:0
#3972:5	#4461:0
#3961:0	#4295:0
#3967:5	#4505:0
#3957:5	#4555:0
#3968:0	#4281:0
#3957:5	#4259:2
#3943:5	#4375:0
#3974:2	#4432:0
#3976:5	#4379:0
#3945:3	#4342:0
#3967:5	#4289:1
#3940:6	#4571:0
#3974:4	#4352:1
#3964:2	#4414:0
#3950:4	#4346:1
#3961:3	#4340:0
#3944:2	#4541:0
#3970:5	#4266:0
#3940:6	#4259:0
#3961:4	#4399:0
#3938:4	#4323:0
#3938:0	#4258:0
#3968:0	#4497:0
#3943:5	#4557:0
