indicator	malware
#3268:2494	#4479:0
#3288:1500	#4282:1
#3273:2911	#4265:0
#3263:1665	#4308:0
#3285:338	#4341:1
#3263:6	#4272:1
#3265:1832	#4268:0
#3273:171	#4298:0
#3261:1247	#4272:1
#3288:2167	#4579:0
#3260:1169	#4297:0
#3260:1497	#4474:0
#3283:1419	#4466:0
#3289:2997	#4265:0
#3271:1164	#4310:0
#3284:1333	#4311:0
#3284:2168	#4265:0
#3263:1253	#4264:1
#3274:2999	#4375:0
#3297:421	#4265:0
#3267:2582	#4467:0
#3268:2331	#4545:0
#3273:333	#4284:1
#3282:1917	#4393:0
#3290:3158	#4341:1
#3259:2665	#4264:0
#3267:752	#4265:0
#3283:1419	#4462:0
#3261:1830	#4581:0
#3274:3	#4287:0
#3290:422	#4475:0
#3267:2827	#4344:1
#3261:88	#4579:0
#3276:1584	#4265:0
#3277:1503	#4489:0
#3261:1998	#4259:0
#3266:3247	#4283:1
#3263:337	#4272:1
#3278:1829	#4265:1
#3286:1004	#4354:0
#3272:1668	#4311:0
#3269:1830	#4362:0
#3269:752	#4469:1
#3266:1083	#4458:0
#3267:3076	#4342:0
#3294:1331	#4265:0
#3279:1663	#4265:0
#3282:1833	#4272:1
#3278:90	#4271:1
#3294:755	#4479:0
#3281:2493	#4259:0
#3284:918	#4550:0
#3265:2244	#4358:1
#3298:997	#4292:1
#3272:2493	#4578:0
#3259:2162	#4367:0
#3284:1333	#4259:2
#3261:2084	#4265:0
#3261:1663	#4498:0
#3287:582	#4265:0
#3270:1580	#4265:0
#3287:2743	#4491:0
#3297:2164	#4338:0
#3263:337	#4354:0
#3290:1080	#4469:1
#3297:499	#4323:0
#3259:586	#4264:1
#3265:255	#4276:0
#3262:1003	#4279:1
#3270:1419	#4479:0
#3282:1750	#4282:1
#3293:3078	#4298:0
#3292:2084	#4311:0
#3279:2410	#4277:1
#3289:334	#4550:0
#3298:2331	#4258:0
#3296:336	#4274:1
#3281:1916	#4458:1
#3288:2164	#4264:1
#3280:1003	#4341:1
#3275:1834	#4479:0
#3284:3247	#4265:0
#3286:2167	#4265:0
#3263:1088	#4367:0
#3272:750	#4272:0
#3278:2744	#4489:0
#3275:1749	#4273:0
#3281:585	#4474:0
#3272:3161	#4268:1
#3282:2997	#4282:1
#3272:499	#4279:1
#3269:1081	#4374:0
#3293:3078	#4258:0
#3280:1501	#4550:0
#3298:917	#4265:0
#3293:1167	#4271:0
#3259:1751	#4341:0
#3273:2168	#4281:1
#3281:834	#4492:0
#3277:1665	#4465:1
#3283:999	#4314:0
#3295:2830	#4264:1
#3298:3242	#4284:1
#3262:2496	#4271:1
#3292:1502	#4476:0
#3279:1751	#4353:1
#3273:2415	#4264:1
#3283:4	#4282:1
#3280:3245	#4458:0
#3293:89	#4545:0
#3277:1414	#4278:0
#3265:1997	#4279:1
#3274:502	#4341:1
#3297:1751	#4342:0
#3279:2081	#4579:0
#3279:166	#4426:0
#3259:667	#4538:0
#3285:2827	#4284:1
#3289:1254	#4280:1
#3289:1168	#4314:0
#3280:502	#4264:1
#3290:2166	#4269:0
#3272:2244	#4287:0
#3269:1166	#4420:0
#3287:1915	#4269:0
#3270:1503	#4277:1
#3287:1835	#4505:0
#3260:3246	#4551:0
#3295:1331	#4474:0
#3298:172	#4273:0
#3277:1914	#4579:0
#3285:832	#4374:0
#3264:2166	#4264:0
#3296:1252	#4305:0
#3283:1579	#4272:1
#3282:3075	#4418:0
#3286:1833	#4283:0
#3268:1831	#4283:1
#3290:503	#4292:1
#3298:3247	#4271:0
#3270:2161	#4295:1
#3276:1836	#4283:1
#3260:174	#4265:0
#3271:2497	#4354:0
#3273:2666	#4269:0
#3285:1915	#4287:1
#3277:1500	#4265:1
#3296:1500	#4467:0
#3261:1835	#4265:0
#3280:836	#4264:0
#3279:505	#4555:0
#3286:1	#4264:1
#3271:2162	#4373:0
#3268:2748	#4387:0
#3293:254	#4370:0
#3275:2664	#4466:0
#3279:420	#4383:0
#3272:919	#4345:0
#3279:499	#4272:1
#3284:3242	#4279:1
#3266:3075	#4366:0
#3262:335	#4265:0
#3283:582	#4258:0
#3267:2328	#4265:1
#3291:418	#4265:0
#3278:920	#4540:0
#3282:833	#4367:0
#3294:1420	#4279:1
#3264:1248	#4265:1
#3288:335	#4259:2
#3281:85	#4347:1
#3295:1253	#4479:0
#3298:1829	#4262:1
#3285:252	#4265:0
#3260:1168	#4305:0
#3292:670	#4388:0
#3273:3164	#4269:0
#3287:1	#4482:0
#3288:1330	#4279:1
#3297:2334	#4259:2
#3260:837	#4486:0
#3284:1413	#4469:1
#3260:422	#4289:1
#3282:2830	#4259:0
#3297:2994	#4571:0
#3265:1749	#4272:1
#3282:505	#4279:1
#3288:1171	#4383:0
#3265:667	#4265:0
#3280:1003	#4287:0
#3298:254	#4265:0
#3266:2328	#4348:0
#3263:85	#4274:0
#3267:3079	#4395:0
#3265:1664	#4370:0
#3270:2167	#4282:0
#3277:2910	#4348:0
#3274:1836	#4475:0
#3294:2825	#4545:0
#3293:1580	#4265:0
#3280:921	#4347:0
#3269:2084	#4341:1
#3267:1587	#4299:0
#3272:588	#4282:0
#3275:834	#4259:2
#3275:1917	#4310:0
#3294:2411	#4265:0
#3259:919	#4348:0
#3279:166	#4271:0
#3265:1417	#4481:0
#3293:2416	#4265:0
#3285:2661	#4475:0
#3259:1003	#4393:0
#3278:2914	#4279:0
#3282:2743	#4489:0
#3271:2161	#4370:0
#3268:1829	#4465:1
#3285:1418	#4265:1
#3278:2660	#4413:0
#3298:1420	#4289:1
#3289:1087	#4489:0
#3292:1829	#4286:1
#3285:2244	#4489:0
#3267:2993	#4348:0
#3260:2662	#4264:1
#3264:5	#4289:1
#3292:1503	#4489:0
#3265:1749	#4299:0
#3278:1248	#4298:0
#3266:1749	#4274:1
#3270:917	#4265:1
#3291:83	#4459:1
#3273:1419	#4305:0
#3261:2911	#4359:1
#3294:336	#4388:0
#3282:333	#4297:1
#3287:1496	#4271:0
#3261:2333	#4261:2
#3265:1833	#4545:0
#3271:2162	#4276:1
#3277:2496	#4543:0
#3263:3246	#4265:1
#3264:1999	#4279:1
#3263:755	#4579:0
#3259:1917	#4287:0
#3296:1413	#4462:1
#3275:2496	#4367:0
#3274:3159	#4265:0
#3263:589	#4259:2
#3278:671	#4370:0
#3284:1829	#4583:0
#3284:1414	#4503:0
#3264:3242	#4495:0
#3277:920	#4259:0
#3267:499	#4287:1
#3282:1333	#4265:0
#3264:1335	#4347:1
#3283:2413	#4287:0
#3293:1336	#4356:0
#3262:2665	#4279:1
#3267:583	#4469:1
#3282:589	#4265:1
#3264:837	#4273:0
#3297:2166	#4265:0
#3286:506	#4284:1
#3262:1912	#4283:0
#3295:919	#4287:1
#3273:1419	#4344:1
#3286:1664	#4579:0
