indicator	malware
#3265:2083	#4391:0
#3297:2913	#4265:0
#3282:501	#4287:1
#3291:1083	#4488:0
#3291:171	#4265:0
#3259:2915	#4276:1
#3294:1164	#4467:0
#3296:2249	#4271:0
#3265:2251	#4367:0
#3269:1581	#4276:1
#3291:1580	#4279:1
#3266:1332	#4281:0
#3282:2910	#4272:1
#3274:751	#4466:0
#3282:88	#4282:1
#3277:2666	#4344:1
#3264:1582	#4269:0
#3277:423	#4286:0
#3268:2826	#4489:0
#3267:832	#4269:0
#3298:3245	#4277:1
#3293:1247	#4540:0
#3263:336	#4458:0
#3286:1746	#4282:0
#3261:2661	#4277:1
#3259:3158	#4269:0
#3276:253	#4271:1
#3264:2831	#4458:0
#3268:88	#4265:1
#3298:2910	#4579:0
#3283:2495	#4263:2
#3290:2498	#4265:0
#3261:168	#4265:1
#3298:3074	#4265:1
#3281:1088	#4357:1
#3261:1748	#4347:1
#3292:2829	#4269:0
#3278:1746	#4387:0
#3274:166	#4265:0
#3277:423	#4483:0
#3281:167	#4370:0
#3282:2002	#4367:0
#3291:415	#4299:0
#3285:1168	#4270:0
#3282:748	#4436:0
#3292:1081	#4458:0
#3268:2085	#4265:0
#3295:1665	#4265:0
#3290:2995	#4260:1
#3292:2244	#4322:0
#3275:89	#4283:0
#3292:1170	#4367:0
#3259:1000	#4386:0
#3266:837	#4284:1
#3266:2660	#4286:1
#3283:2417	#4358:1
#3272:1503	#4367:0
#3259:1835	#4284:1
#3294:1247	#4292:1
#3261:1003	#4265:0
#3269:2660	#4265:1
#3283:1419	#4340:1
#3271:2079	#4272:1
#3287:1166	#4541:0
#3291:2659	#4265:0
#3286:3076	#4265:1
#3288:2911	#4265:0
#3280:2168	#4579:0
#3261:2498	#4347:1
#3278:1584	#4348:0
#3296:1583	#4269:1
#3286:1416	#4259:2
#3276:3158	#4293:0
#3273:2084	#4265:0
#3291:836	#4370:0
#3277:1253	#4322:0
#3298:2248	#4354:0
#3275:751	#4259:2
#3290:915	#4475:0
#3282:2329	#4284:1
#3278:501	#4469:1
#3283:90	#4467:0
#3276:1082	#4265:0
#3291:249	#4265:0
#3292:1253	#4283:1
#3264:754	#4458:0
#3289:90	#4486:0
#3285:335	#4486:0
#3298:2748	#4265:1
#3269:89	#4282:0
#3272:3162	#4570:0
#3267:1917	#4380:0
#3294:1084	#4296:0
#3287:2661	#4265:0
#3259:670	#4466:0
#3272:920	#4298:0
#3283:1335	#4347:1
#3265:2582	#4282:0
#3270:1919	#4271:1
#3271:2163	#4264:1
#3268:85	#4348:0
#3282:249	#4469:1
#3260:1171	#4274:1
#3267:665	#4265:0
#3294:1828	#4279:1
#3277:3075	#4265:0
#3279:2080	#4347:1
#3288:2911	#4370:0
#3269:2660	#4308:0
#3281:751	#4264:1
#3272:2411	#4265:0
#3265:502	#4428:0
#3298:2912	#4295:1
#3288:669	#4556:0
#3298:1417	#4287:1
#3274:2749	#4351:1
#3297:502	#4323:0
#3288:1170	#4265:0
#3285:1417	#4391:0
#3263:1171	#4370:0
#3278:1417	#4259:2
#3293:415	#4310:0
#3295:916	#4286:1
#3277:1747	#4277:1
#3277:2496	#4287:0
#3270:89	#4282:0
#3268:750	#4423:0
#3292:2495	#4265:0
#3289:1832	#4375:0
#3272:917	#4493:0
#3282:1581	#4258:0
#3291:1418	#4342:0
#3265:3081	#4290:1
#3282:171	#4378:0
#3270:423	#4272:1
#3287:251	#4347:1
#3273:2163	#4284:1
#3289:1914	#4362:0
#3294:2417	#4271:0
#3283:1750	#4554:0
#3272:336	#4279:1
#3292:255	#4265:0
#3279:2583	#4265:1
#3263:503	#4307:0
#3268:3159	#4272:1
#3266:2494	#4262:1
#3262:169	#4310:0
#3281:416	#4286:0
#3273:1501	#4274:0
#3265:2911	#4465:1
#3274:1579	#4263:0
#3297:1331	#4284:1
#3288:3076	#4269:0
#3263:1585	#4398:0
#3285:2996	#4276:0
#3280:837	#4474:0
#3278:2666	#4264:1
#3274:1416	#4395:0
#3296:670	#4486:0
#3263:1333	#4279:1
#3262:1167	#4579:0
#3294:86	#4274:1
#3275:755	#4269:0
#3269:257	#4485:0
#3271:2833	#4350:0
#3278:2743	#4264:1
#3281:1250	#4265:0
#3278:2415	#4265:0
#3280:173	#4265:0
#3293:1746	#4485:0
#3275:2749	#4383:0
#3291:90	#4279:1
#3264:1248	#4274:1
#3282:2664	#4265:0
#3268:2167	#4265:0
#3266:2581	#4485:0
#3264:421	#4265:0
#3263:1171	#4486:0
#3292:1913	#4264:1
#3275:3246	#4316:0
#3278:1417	#4367:0
#3284:256	#4265:0
#3289:1333	#4258:2
#3295:670	#4264:1
#3266:2161	#4367:0
#3293:2167	#4292:1
#3285:3242	#4382:0
#3283:753	#4262:1
#3291:1418	#4308:0
#3286:2165	#4469:1
#3285:3077	#4297:1
#3298:3246	#4284:1
#3259:87	#4380:0
#3276:2414	#4341:0
#3267:1249	#4281:0
#3271:1165	#4358:1
#3274:1248	#4462:0
#3288:3162	#4342:0
#3269:5	#4579:0
#3286:254	#4282:0
#3280:421	#4370:0
#3286:86	#4338:0
#3291:503	#4540:0
#3295:1503	#4264:0
#3267:2495	#4265:0
#3259:2826	#4265:0
#3268:2496	#4271:1
#3288:2078	#4352:1
#3281:2744	#4544:0
#3263:1252	#4265:0
#3264:2749	#4289:1
#3292:500	#4271:0
#3267:1001	#4260:1
#3291:1752	#4350:0
#3266:2249	#4312:0
#3288:1999	#4265:0
#3265:89	#4271:0
#3294:504	#4293:0
#3294:85	#4279:1
#3283:1334	#4486:0
#3282:86	#4265:0
#3276:665	#4264:1
#3271:2744	#4284:1
#3289:90	#4481:0
#3275:340	#4354:0
#3262:2329	#4271:0
#3263:672	#4269:0
#3265:2745	#4265:0
#3298:3240	#4349:1
#3288:1331	#4394:0
#3276:1417	#4265:0
#3297:1334	#4579:0
#3266:666	#4265:0
#3286:2915	#4394:0
#3288:1913	#4265:0
#3297:1913	#4265:0
#3284:1666	#4314:0
#3272:750	#4551:0
#3260:2996	#4463:0
#3282:917	#4259:2
#3276:1913	#4279:1
#3266:667	#4259:0
#3266:2497	#4275:0
#3272:1171	#4274:1
#3288:3157	#4265:0
#3290:2334	#4270:0
#3279:3244	#4284:1
#3264:1833	#4458:1
#3277:2994	#4370:0
#3278:1415	#4370:0
#3284:2914	#4501:0
#3264:1751	#4265:0
#3281:754	#4341:1
#3292:2994	#4386:0
#3268:2748	#4345:0
#3261:2501	#4294:0
#3267:1331	#4271:1
#3294:2582	#4258:0
#3280:1501	#4297:1
#3279:2993	#4579:0
#3275:2661	#4260:1
#3272:3242	#4265:0
#3277:2495	#4265:0
#3291:1664	#4272:1
#3281:1413	#4265:0
#3260:1504	#4259:2
#3266:1669	#4341:0
#3267:2498	#4264:1
#3292:2334	#4282:0
#3294:505	#4288:1
#3273:1164	#4338:1
#3266:3075	#4327:0
#3288:998	#4412:0
#3296:2000	#4297:0
#3270:3163	#4277:1
#3276:2083	#4286:1
#3266:2164	#4262:1
#3291:2	#4265:0
#3282:2998	#4383:0
#3295:1663	#4259:2
#3261:2916	#4286:1
#3280:169	#4264:1
#3289:417	#4287:0
#3277:833	#4259:2
#3260:1913	#4316:0
#3283:2747	#4264:1
#3288:1419	#4283:0
#3295:999	#4275:0
#3285:1170	#4275:0
#3271:2411	#4265:0
#3259:1580	#4350:0
#3288:1499	#4540:0
#3269:1253	#4564:0
#3275:1750	#4579:0
#3298:422	#4264:1
#3286:3247	#4463:0
#3297:171	#4282:0
#3273:1003	#4487:0
#3273:2167	#4282:0
#3275:418	#4287:1
#3272:1912	#4279:1
#3282:2998	#4279:1
#3263:2418	#4344:1
#3288:3081	#4289:1
#3261:4	#4265:0
#3260:2498	#4259:2
#3265:1999	#4265:0
#3294:499	#4292:1
#3288:2581	#4284:1
#3259:2252	#4275:0
#3271:749	#4269:0
#3261:2578	#4486:0
#3290:2742	#4358:1
#3295:1417	#4269:0
#3282:422	#4287:0
#3265:1666	#4274:0
#3298:1332	#4284:1
#3264:1914	#4459:1
#3282:1834	#4282:1
#3287:1086	#4259:0
#3268:919	#4347:1
#3297:667	#4358:1
#3263:2580	#4479:0
#3277:2080	#4275:1
#3282:666	#4265:0
#3281:422	#4268:0
#3266:749	#4271:0
#3278:1005	#4283:1
#3294:2825	#4279:1
#3294:2664	#4341:1
#3285:1746	#4502:0
#3295:2747	#4287:1
#3285:339	#4370:0
#3282:2002	#4259:2
#3295:1502	#4264:1
#3292:1833	#4259:0
#3274:1417	#4265:0
#3291:836	#4549:0
#3286:1912	#4264:0
#3267:1918	#4540:0
#3273:2747	#4559:0
#3263:3158	#4284:1
#3280:915	#4262:1
#3293:1830	#4283:0
#3293:2167	#4487:0
#3295:2742	#4284:1
#3284:1088	#4264:1
#3293:1668	#4258:0
#3297:1665	#4290:0
#3279:2081	#4265:0
#3269:2833	#4260:0
#3261:257	#4266:0
#3274:422	#4279:1
#3276:1000	#4396:0
#3262:2163	#4284:1
#3278:1164	#4458:0
#3277:1499	#4469:1
#3272:1171	#4465:1
#3268:2332	#4264:1
#3261:3246	#4271:1
#3285:1584	#4341:0
#3294:3080	#4265:0
#3270:256	#4467:0
#3264:1248	#4435:0
#3265:3165	#4341:1
#3294:1995	#4297:1
#3294:2577	#4265:0
#3272:2582	#4545:0
#3270:670	#4338:0
#3272:1252	#4274:0
#3264:1337	#4264:1
#3274:1414	#4259:2
#3297:499	#4316:0
#3274:1498	#4307:0
#3274:168	#4587:0
#3276:2745	#4259:2
#3262:1167	#4265:0
#3290:3160	#4265:0
#3283:1335	#4284:1
#3291:2913	#4322:0
#3261:1665	#4359:1
#3284:1252	#4479:0
#3279:2827	#4281:1
#3289:1663	#4283:1
#3283:3	#4265:0
#3292:2079	#4367:0
#3269:2002	#4300:0
#3286:751	#4267:0
#3271:755	#4485:0
#3296:915	#4258:0
#3269:2743	#4258:0
#3278:1249	#4350:0
#3268:1750	#4545:0
#3263:173	#4467:0
#3288:2579	#4265:0
#3268:1999	#4485:0
#3266:2743	#4354:0
#3263:2250	#4272:0
#3286:1833	#4323:0
#3270:3165	#4279:0
#3296:1663	#4305:0
#3288:1828	#4282:0
#3269:2913	#4282:1
#3266:2667	#4469:1
#3272:2250	#4341:1
#3297:1586	#4407:0
#3264:3160	#4348:0
#3263:333	#4259:2
#3259:3077	#4265:0
#3271:749	#4344:1
#3261:2666	#4265:0
#3289:1002	#4414:0
#3275:3076	#4263:0
#3291:1254	#4272:1
#3284:1831	#4265:1
#3268:2831	#4265:0
#3293:668	#4458:0
#3274:1750	#4264:1
#3284:1745	#4265:0
#3268:2832	#4265:0
#3281:1418	#4392:0
#3269:1166	#4279:1
#3294:3162	#4279:1
#3278:335	#4268:0
#3298:2413	#4538:0
#3262:2828	#4466:0
#3266:2832	#4276:0
#3284:1414	#4264:1
#3267:1414	#4269:0
#3294:250	#4283:1
#3268:257	#4269:0
#3274:2165	#4265:0
#3295:5	#4571:0
#3280:3164	#4489:0
#3267:999	#4370:0
#3287:506	#4287:0
#3260:2001	#4383:0
#3272:1168	#4347:1
#3266:2498	#4341:1
#3283:86	#4488:0
#3273:584	#4264:1
#3298:1004	#4285:0
#3287:3077	#4350:0
#3297:1913	#4540:0
#3298:415	#4287:0
#3260:670	#4342:0
#3294:420	#4463:0
#3289:2416	#4259:2
#3278:2333	#4299:0
#3279:1334	#4344:1
#3282:1664	#4279:1
#3278:916	#4265:0
#3297:667	#4264:1
#3277:1585	#4370:0
#3284:2250	#4557:0
#3261:2328	#4284:0
#3262:756	#4270:0
#3298:2665	#4279:1
#3260:2333	#4356:0
#3267:2998	#4279:1
#3278:1251	#4359:1
#3277:1169	#4300:0
#3274:2997	#4273:0
#3298:2500	#4284:1
#3281:2327	#4398:0
#3292:249	#4377:0
#3292:2411	#4389:0
#3266:1414	#4283:0
#3298:1163	#4486:0
#3263:2743	#4264:1
#3272:1998	#4283:1
#3295:1996	#4341:0
#3271:2995	#4259:2
#3288:419	#4277:1
#3276:1502	#4265:0
#3275:1253	#4469:1
#3282:333	#4550:0
#3286:2497	#4279:1
#3281:2162	#4265:0
#3268:2331	#4279:1
#3271:1168	#4265:0
#3282:836	#4283:0
#3269:1170	#4279:1
#3289:1502	#4269:0
#3279:670	#4287:0
#3278:1497	#4361:0
#3265:587	#4579:0
#3262:1087	#4425:0
#3261:1164	#4265:0
#3285:505	#4265:0
#3282:2165	#4264:0
#3289:1168	#4284:1
#3263:2328	#4301:0
#3289:1996	#4265:0
#3292:3244	#4409:0
#3283:1003	#4265:0
#3267:1998	#4374:0
#3293:1250	#4284:1
#3259:1748	#4342:0
#3275:1832	#4287:0
#3266:2582	#4568:0
#3297:90	#4265:0
#3290:500	#4474:0
#3269:4	#4278:0
#3295:1337	#4338:0
#3268:1086	#4461:1
#3282:2080	#4279:0
#3267:1416	#4283:0
#3289:1085	#4310:0
#3277:499	#4358:1
#3262:1501	#4278:0
#3279:3245	#4264:0
#3282:1168	#4339:1
#3277:2745	#4284:1
#3262:501	#4284:1
#3283:1914	#4289:1
#3283:1745	#4274:1
#3263:1995	#4302:0
#3295:503	#4359:1
#3287:1918	#4486:0
#3267:2496	#4265:0
#3290:1	#4261:2
#3273:2002	#4378:0
#3281:3165	#4479:0
#3267:1170	#4287:1
#3277:1334	#4284:1
#3273:671	#4349:0
#3292:3075	#4367:0
#3293:1164	#4362:1
#3279:2666	#4282:0
#3277:2500	#4359:1
#3279:583	#4274:0
#3269:582	#4305:0
#3287:3162	#4265:0
#3290:2915	#4286:1
#3274:1084	#4259:2
#3298:2164	#4579:0
#3272:1995	#4268:0
#3268:1247	#4370:0
#3296:2079	#4265:0
#3276:1912	#4491:0
#3298:90	#4549:0
#3269:3248	#4274:1
#3267:2827	#4269:0
#3267:3080	#4284:1
#3293:1	#4259:2
#3277:1750	#4325:0
#3274:2912	#4271:0
#3292:335	#4287:0
#3266:832	#4310:0
#3293:1004	#4393:0
#3281:836	#4374:0
#3279:505	#4259:2
#3289:168	#4265:0
#3286:3080	#4265:1
#3264:2665	#4556:0
#3269:2745	#4259:0
#3261:7	#4479:0
#3276:2494	#4458:0
#3268:1419	#4322:0
#3269:668	#4354:0
#3279:998	#4479:0
#3267:7	#4276:1
#3270:1416	#4459:0
#3286:251	#4287:0
#3283:1579	#4474:0
#3274:3081	#4463:0
#3288:2164	#4358:1
#3293:2329	#4462:0
#3287:2002	#4274:0
#3273:1749	#4587:0
#3288:2164	#4475:0
#3265:252	#4288:1
#3294:2249	#4259:0
#3287:2825	#4287:0
#3282:1167	#4370:0
#3264:2245	#4264:1
#3262:2994	#4265:0
#3297:1914	#4284:1
#3274:1417	#4300:0
#3290:2247	#4305:0
#3272:2330	#4289:0
#3283:2411	#4259:2
#3286:87	#4379:0
#3263:416	#4264:1
#3294:1168	#4347:1
#3298:3158	#4370:0
#3260:171	#4579:0
#3296:2166	#4338:0
#3259:1420	#4362:0
#3282:2080	#4323:0
#3262:2667	#4553:0
#3287:1166	#4500:0
#3261:506	#4274:0
#3261:2993	#4265:0
#3289:84	#4400:0
#3277:587	#4271:0
#3261:0	#4269:0
#3297:2327	#4584:0
#3294:1828	#4383:0
#3260:839	#4474:0
#3259:667	#4298:0
#3263:670	#4274:1
#3290:2330	#4258:0
#3289:5	#4318:0
#3291:1669	#4579:0
#3271:2662	#4270:0
#3270:500	#4458:0
#3279:1833	#4259:0
#3262:1913	#4587:0
#3265:1668	#4284:1
#3263:2250	#4349:1
#3284:1917	#4465:1
#3272:2995	#4276:1
#3263:1415	#4266:0
#3269:504	#4283:1
#3264:2911	#4341:0
#3285:999	#4358:1
#3285:915	#4271:0
#3268:665	#4264:1
#3266:0	#4305:0
#3273:922	#4356:0
#3275:752	#4289:1
#3277:1997	#4277:1
#3288:1831	#4467:0
#3271:250	#4271:1
#3290:172	#4277:1
#3285:3159	#4585:0
#3269:2832	#4549:0
#3285:2831	#4344:1
#3267:503	#4279:1
#3266:338	#4266:1
#3285:2498	#4283:0
#3287:1003	#4284:1
#3271:1496	#4358:1
#3276:2246	#4338:1
#3279:2992	#4484:0
#3291:836	#4265:0
#3265:1084	#4354:0
#3268:2913	#4265:0
#3265:5	#4276:0
#3270:833	#4265:0
#3296:834	#4259:2
#3260:2662	#4358:1
#3294:2164	#4279:1
#3294:3246	#4265:0
#3260:916	#4299:0
#3296:3164	#4291:0
#3290:1497	#4263:2
#3270:3242	#4279:1
#3272:2167	#4271:1
#3264:1999	#4356:0
#3260:2995	#4258:0
#3265:2078	#4389:0
#3294:2497	#4284:1
#3272:838	#4341:1
#3287:1584	#4469:1
#3292:3161	#4259:2
#3263:584	#4350:0
#3276:2666	#4374:0
#3263:3077	#4540:0
#3297:1002	#4358:1
#3285:1664	#4354:0
#3275:503	#4356:0
#3287:1834	#4283:0
#3293:2744	#4287:0
#3298:2496	#4263:2
#3274:918	#4475:0
#3286:836	#4370:0
#3271:1171	#4579:0
#3267:1584	#4269:0
#3283:2330	#4270:0
#3293:1828	#4356:0
#3293:1087	#4361:0
#3265:2332	#4344:1
#3267:1083	#4579:0
#3281:2910	#4284:1
#3259:1503	#4390:0
#3293:1335	#4275:0
#3259:916	#4287:1
#3292:88	#4350:0
#3296:1166	#4275:0
#3290:2162	#4458:0
#3295:2494	#4265:0
#3296:498	#4269:0
#3273:1083	#4270:0
#3270:1750	#4258:2
#3260:2667	#4341:1
#3276:916	#4361:0
#3263:2745	#4356:0
#3292:3158	#4286:1
#3264:3242	#4468:1
#3265:1747	#4265:0
#3279:2993	#4265:0
#3288:837	#4458:0
#3264:1670	#4579:0
#3287:2165	#4458:0
#3280:2912	#4265:0
#3263:2334	#4465:1
#3265:2250	#4475:0
#3267:3163	#4316:0
#3291:1745	#4469:1
#3277:2500	#4264:0
#3267:1748	#4272:1
#3297:2664	#4463:0
#3261:754	#4287:0
#3285:998	#4354:1
#3282:1336	#4272:0
#3275:2079	#4278:0
#3277:583	#4370:0
#3288:5	#4264:1
#3265:2743	#4408:0
#3267:917	#4287:0
#3264:337	#4269:0
#3259:2082	#4271:0
#3276:2161	#4307:0
#3287:1251	#4283:1
#3290:2247	#4467:0
#3286:1833	#4316:0
#3272:0	#4475:0
#3276:2995	#4465:1
#3263:919	#4361:0
#3263:1585	#4362:0
#3287:1252	#4282:0
#3262:173	#4271:0
#3281:1254	#4264:1
#3294:2164	#4356:0
#3265:1586	#4367:0
#3270:2079	#4342:0
#3262:1669	#4265:0
#3269:2748	#4277:1
#3278:1335	#4342:0
#3273:2914	#4314:0
#3261:1081	#4467:0
#3288:1416	#4274:1
#3295:1333	#4462:0
#3262:922	#4282:0
#3291:837	#4265:0
#3285:2167	#4377:0
#3260:2584	#4264:0
#3264:582	#4475:0
#3289:2162	#4322:0
#3294:836	#4276:0
#3272:1335	#4265:0
#3293:1916	#4492:0
#3285:3241	#4265:0
#3267:2328	#4265:0
#3266:2083	#4279:1
#3265:838	#4269:0
#3274:834	#4547:0
#3288:1416	#4364:0
#3283:2666	#4259:0
#3287:671	#4265:1
#3259:2412	#4579:0
#3296:253	#4284:1
#3263:7	#4282:1
#3287:1833	#4264:1
#3287:914	#4427:0
#3267:2161	#4502:0
#3277:1169	#4370:0
#3262:2916	#4358:1
#3281:255	#4370:0
#3289:1834	#4348:1
#3275:333	#4469:1
#3265:1082	#4579:0
#3262:1586	#4265:0
#3268:0	#4265:0
#3289:2660	#4259:0
#3291:1583	#4264:1
#3290:1002	#4288:1
#3296:1665	#4579:0
#3296:1168	#4369:0
#3273:7	#4265:0
#3279:1750	#4310:0
#3282:1337	#4275:0
#3277:420	#4465:1
#3282:338	#4259:2
#3259:1005	#4277:1
#3282:1913	#4264:1
#3272:1247	#4348:0
#3260:666	#4259:2
#3267:1418	#4259:2
#3263:1249	#4279:1
#3294:2742	#4265:0
#3286:583	#4276:0
#3294:2498	#4383:0
#3262:1086	#4310:0
#3292:2912	#4370:0
#3294:499	#4487:0
#3288:752	#4387:0
#3275:2416	#4264:1
#3275:2578	#4283:0
#3262:1418	#4568:0
#3283:506	#4341:1
#3274:1832	#4274:0
#3294:670	#4308:0
#3296:2912	#4587:0
#3267:1420	#4341:0
#3275:2500	#4265:0
#3266:1752	#4265:0
#3292:2493	#4560:0
#3281:333	#4272:1
#3291:1165	#4265:0
#3264:2749	#4377:0
#3272:171	#4386:0
#3282:1748	#4367:0
#3261:1669	#4265:0
#3274:3081	#4279:1
#3286:1331	#4268:0
#3277:667	#4259:2
#3298:2910	#4265:0
#3275:172	#4370:0
#3293:2831	#4465:1
#3260:916	#4272:1
#3281:2497	#4277:1
#3266:2995	#4267:1
#3272:505	#4294:0
#3286:1996	#4323:0
#3272:2579	#4579:0
#3288:3076	#4305:0
#3293:1169	#4348:0
#3272:251	#4284:1
#3290:3242	#4268:0
#3282:2161	#4550:0
#3287:0	#4269:0
#3292:2993	#4265:1
#3286:2997	#4274:1
#3287:3245	#4269:0
#3275:1084	#4343:1
#3293:2908	#4265:0
#3290:2495	#4370:0
#3287:671	#4265:0
#3278:585	#4391:0
#3293:3161	#4348:0
#3260:2000	#4283:1
#3263:2002	#4269:0
#3265:2662	#4265:0
#3287:2412	#4261:2
#3293:2248	#4284:1
#3293:2079	#4347:1
#3282:416	#4301:0
#3298:2909	#4386:0
#3271:1668	#4265:0
#3264:2	#4579:0
#3293:1499	#4265:0
#3262:500	#4460:1
#3272:1417	#4274:0
#3261:586	#4310:0
#3285:169	#4292:1
#3268:418	#4284:1
#3280:589	#4579:0
#3271:2996	#4467:0
#3285:1666	#4265:0
#3272:1088	#4339:1
#3271:1420	#4282:0
#3290:2166	#4305:0
#3296:1503	#4463:0
#3290:3240	#4265:0
#3261:1996	#4314:0
#3284:2743	#4342:0
#3288:171	#4367:0
#3267:838	#4286:1
#3296:249	#4568:0
#3260:3246	#4273:0
#3290:2082	#4276:1
#3262:836	#4265:0
#3285:2081	#4264:0
#3263:1581	#4290:0
#3266:336	#4295:1
#3297:838	#4388:0
#3294:1999	#4284:1
#3267:84	#4325:0
#3268:1996	#4348:0
#3264:334	#4274:1
#3283:1999	#4259:1
#3292:583	#4412:0
#3280:1583	#4564:0
#3285:1337	#4273:0
#3273:2913	#4370:0
#3294:1582	#4265:1
#3272:2413	#4424:0
#3259:3159	#4265:0
#3259:1001	#4370:0
#3274:2747	#4268:0
#3282:168	#4286:1
#3275:2327	#4352:1
#3293:754	#4362:0
#3287:337	#4579:0
#3263:1086	#4540:0
#3270:1418	#4275:0
#3265:86	#4265:0
#3280:2248	#4271:0
#3259:1914	#4300:0
#3261:2162	#4265:1
#3277:1748	#4554:0
#3293:2248	#4560:0
#3289:998	#4286:1
#3278:2164	#4458:1
#3273:1085	#4474:0
#3272:752	#4276:1
#3263:751	#4465:1
#3280:2163	#4322:0
#3275:915	#4469:1
#3274:2829	#4426:0
#3261:2162	#4342:0
#3296:2578	#4479:0
#3268:4	#4316:0
#3262:918	#4548:0
#3263:1087	#4271:1
#3292:2832	#4271:0
#3262:586	#4274:1
#3293:172	#4327:0
#3269:919	#4344:1
#3281:2334	#4265:0
#3277:3	#4352:1
#3279:752	#4287:0
#3260:2749	#4287:0
#3282:251	#4265:0
#3260:2082	#4272:1
#3293:2249	#4387:0
#3282:914	#4265:0
#3260:1751	#4265:0
#3272:1168	#4284:1
#3298:1081	#4259:2
#3267:2330	#4274:1
#3293:1082	#4465:1
#3297:1497	#4264:1
#3263:753	#4350:0
#3267:502	#4283:0
#3283:3161	#4554:0
#3275:1999	#4284:1
#3275:255	#4486:0
#3295:1751	#4287:0
#3290:3164	#4292:0
#3259:2333	#4579:0
#3277:751	#4367:0
#3271:583	#4274:0
#3273:333	#4491:0
#3296:2329	#4284:1
#3284:2665	#4287:1
#3286:2991	#4279:1
#3281:2332	#4314:0
#3265:339	#4322:0
#3272:1586	#4264:0
#3280:1249	#4262:1
#3291:1834	#4265:0
#3298:2244	#4358:1
#3265:2826	#4259:2
#3288:1248	#4265:1
#3281:2998	#4579:0
#3271:2581	#4265:0
#3278:666	#4277:1
#3270:256	#4344:1
#3265:1833	#4279:1
#3280:2748	#4463:0
#3283:751	#4265:0
#3282:3246	#4458:0
#3296:2244	#4287:0
#3285:503	#4540:0
#3262:1995	#4287:1
#3286:3243	#4259:2
#3278:2078	#4367:0
#3287:1419	#4265:0
#3295:1168	#4319:0
#3289:2747	#4308:0
#3287:2251	#4270:0
#3266:2993	#4393:0
#3275:1748	#4437:0
#3261:2080	#4265:0
#3287:1997	#4463:0
#3283:2663	#4259:2
#3284:753	#4308:0
#3283:3077	#4279:1
#3262:588	#4264:1
#3271:1581	#4265:0
#3295:667	#4282:0
#3261:1086	#4259:2
#3273:1586	#4469:1
#3270:2494	#4545:0
#3263:84	#4272:1
#3289:87	#4265:0
#3262:921	#4547:0
#3273:3247	#4466:0
#3266:1669	#4273:0
#3286:1745	#4282:0
#3264:3241	#4304:0
#3293:255	#4265:0
#3286:3080	#4342:0
#3287:1915	#4305:0
#3294:2577	#4579:0
#3260:749	#4265:0
#3267:1917	#4339:0
#3292:415	#4265:0
#3261:1247	#4354:0
#3267:251	#4259:0
#3259:499	#4354:0
#3286:2993	#4301:0
#3273:338	#4367:0
#3298:751	#4367:0
#3286:1087	#4311:0
#3279:1248	#4259:0
#3270:339	#4282:1
#3272:505	#4464:1
#3263:1663	#4486:0
#3263:2582	#4348:0
#3295:84	#4287:0
#3260:2583	#4274:1
#3264:1334	#4305:0
#3276:917	#4258:0
#3265:173	#4309:0
#3272:2331	#4264:1
#3281:921	#4545:0
#3285:2583	#4265:0
#3274:504	#4279:1
#3260:3160	#4274:1
#3278:3241	#4550:0
#3266:1082	#4278:0
#3296:2415	#4370:0
#3297:1082	#4264:0
#3288:1583	#4465:1
#3298:167	#4284:1
#3259:672	#4271:0
#3293:748	#4341:1
#3296:1918	#4260:0
#3274:2413	#4264:1
#3273:2080	#4588:0
#3281:418	#4272:1
#3282:836	#4279:0
#3286:1000	#4367:0
#3296:0	#4259:0
#3279:671	#4259:1
#3259:1250	#4344:1
#3262:504	#4305:0
#3269:2580	#4279:1
#3280:421	#4486:0
#3271:167	#4465:1
#3296:2991	#4282:0
#3264:2083	#4271:0
#3260:1835	#4487:0
#3265:253	#4271:0
#3289:1669	#4292:1
#3289:2245	#4367:0
#3274:2247	#4579:0
#3263:1587	#4287:1
#3268:2999	#4342:0
#3283:1336	#4358:1
#3259:666	#4468:1
#3298:2582	#4354:0
#3266:1665	#4355:1
#3280:1252	#4273:0
#3280:1663	#4540:0
#3286:836	#4265:0
#3273:1	#4282:0
#3273:2746	#4356:0
#3259:2078	#4348:0
#3297:2994	#4259:0
#3276:1085	#4481:0
#3259:417	#4259:2
#3267:2830	#4485:0
#3298:1420	#4377:0
#3286:2495	#4265:0
#3278:2500	#4383:0
#3280:2084	#4475:0
#3282:1419	#4279:1
#3260:339	#4286:1
#3288:416	#4271:1
#3263:337	#4299:0
#3260:1252	#4579:0
#3278:1497	#4373:0
#3263:1084	#4373:0
#3276:1337	#4271:0
#3283:3163	#4491:0
#3261:3242	#4341:1
#3261:2415	#4467:0
#3275:1834	#4271:0
#3294:2581	#4370:0
#3286:255	#4341:1
#3287:2910	#4264:1
#3282:2825	#4492:0
#3286:499	#4277:1
#3288:1337	#4258:0
#3281:500	#4265:0
#3286:2334	#4358:1
#3280:172	#4274:1
#3279:2915	#4279:1
#3291:1004	#4283:1
#3283:168	#4279:1
#3280:2913	#4258:0
#3289:1752	#4490:0
#3276:505	#4284:1
#3284:1752	#4265:0
#3289:1000	#4469:1
#3282:3079	#4278:0
#3270:2497	#4458:1
#3295:584	#4275:0
#3279:1087	#4314:0
#3293:589	#4579:0
#3265:999	#4259:2
#3295:499	#4463:0
#3269:754	#4344:0
#3264:255	#4265:0
#3288:86	#4361:0
