course_of_action	attack_pattern
#264:46	#178:6
#286:59	#204:7
#3665:162	#3210:12
#3661:166	#3191:2
#3661:20	#3191:2
#256:80	#182:7
#3672:172	#3201:9
#3659:108	#3193:2
#264:12	#197:13
#3661:133	#3204:1
#264:22	#172:4
#3659:25	#3193:2
#3692:137	#3208:4
#3661:121	#3191:2
#269:85	#178:11
#256:80	#197:13
#3660:123	#3191:2
#272:35	#208:1
#3660:203	#3191:2
#284:29	#199:7
#249:57	#182:9
#3658:155	#3183:3
#272:15	#177:7
#279:4	#171:0
#3660:119	#3204:1
#249:37	#203:2
#271:72	#191:5
#274:78	#206:11
#3661:149	#3200:9
#278:99	#190:2
#274:78	#180:2
#254:56	#183:3
#254:41	#193:0
#256:91	#185:14
#3658:21	#3191:2
#264:48	#172:13
#3660:67	#3191:2
#3658:56	#3194:6
#3659:145	#3191:2
#254:50	#203:8
#3661:130	#3194:6
#257:12	#204:7
#262:48	#203:10
#3662:65	#3191:2
#281:79	#177:8
#287:3	#186:10
#274:78	#176:11
#281:59	#197:5
#262:16	#195:5
#254:45	#198:5
#3660:89	#3204:1
#254:5	#169:2
#3660:2	#3191:2
#282:33	#174:6
#252:56	#169:10
#278:99	#178:11
#3660:161	#3191:2
#262:20	#194:6
#267:2	#182:4
#251:83	#177:8
#277:15	#204:7
#3659:167	#3191:2
#3659:39	#3205:12
#3661:3	#3191:2
#287:50	#185:4
#3662:45	#3204:1
#261:92	#201:4
#3659:201	#3205:12
#275:93	#179:15
#252:9	#171:7
#259:61	#188:11
#272:11	#174:12
#278:99	#205:3
#3683:179	#3191:2
#3661:40	#3191:2
#3658:55	#3191:2
#274:69	#183:7
#3661:25	#3191:2
#274:64	#205:11
#256:80	#175:7
#3661:48	#3193:2
#274:64	#203:10
#272:23	#197:7
#3661:169	#3191:2
#254:38	#201:1
#3661:158	#3193:2
#270:92	#178:4
#269:90	#196:15
#3666:114	#3208:4
#280:93	#205:11
#3661:58	#3205:12
#284:48	#183:4
#254:53	#198:13
#3659:40	#3191:2
#3659:32	#3206:8
#272:13	#175:7
#3687:183	#3179:5
#272:15	#190:2
#274:78	#196:0
#284:21	#201:12
