report	indicator
#2943:12	#3280:2577
#2949:21	#3289:668
#2931:24	#3401:89
#2942:28	#3368:478
#2939:1	#3296:356
#2954:27	#3414:492
#2960:26	#3291:1766
#2934:19	#3261:1437
#2957:14	#3285:1429
#2947:14	#3298:2578
#2935:21	#3276:1434
#2955:9	#3380:89
#2953:16	#3240:144
#2954:5	#3287:2085
#2931:24	#3271:2915
#2934:9	#3344:201
#2949:21	#3274:1748
#2937:11	#3476:427
#2936:13	#3394:447
#2934:18	#3248:1173
#2952:28	#3277:1097
#2931:5	#3461:501
#2961:18	#3390:278
#2958:13	#3259:1666
#2930:7	#3291:702
#2935:21	#3242:2131
#2937:12	#3249:2471
#2953:10	#3372:1314
#2943:26	#3321:20
#2962:7	#3266:2297
#2937:11	#3270:2839
#2949:1	#3399:214
#2946:26	#3266:2373
#2931:23	#3407:179
#2942:17	#3388:207
#2939:14	#3224:2602
#2950:12	#3355:1113
#2953:20	#3276:1681
#2946:17	#3263:612
#2940:13	#3266:1599
#2932:27	#3275:2913
#2936:28	#3416:58
#2930:26	#3281:1007
#2930:19	#3242:2606
#2944:8	#3397:348
#2943:19	#3276:3087
#2961:15	#3271:1498
#2933:10	#3358:597
#2953:27	#3248:690
#2948:22	#3345:1237
#2936:10	#3275:2913
#2946:9	#3242:2672
#2930:17	#3251:1643
#2930:21	#3272:1254
#2958:2	#3239:3
#2930:23	#3418:367
#2959:6	#3407:216
#2930:5	#3393:170
#2959:17	#3289:333
#2956:3	#3287:433
#2931:27	#3256:758
#2943:17	#3243:1786
#2952:19	#3339:939
#2940:13	#3271:2342
#2955:29	#3415:473
#2937:8	#3280:2578
#2943:26	#3318:26
#2954:2	#3323:20
#2930:23	#3388:167
#2946:16	#3289:1248
#2941:28	#3480:347
#2950:20	#3251:1438
#2957:24	#3243:824
#2947:0	#3289:1746
#2954:30	#3272:0
#2948:5	#3341:677
#2941:4	#3260:772
#2933:6	#3271:2126
#2938:2	#3263:177
#2948:14	#3392:302
#2932:18	#3283:757
#2942:9	#3404:396
#2934:24	#3270:2495
#2930:5	#3401:313
#2938:6	#3295:1669
#2949:5	#3269:3079
#2957:23	#3297:948
#2945:5	#3275:1748
#2942:9	#3403:66
#2947:23	#3231:2193
#2945:14	#3353:478
#2960:13	#3222:2467
#2947:23	#3233:1919
#2946:3	#3226:1443
#2955:9	#3405:59
#2940:18	#3413:224
#2948:30	#3289:2929
#2947:9	#3220:2331
